	A->C	A->G	A->T	C->A	C->G	C->T	G->A	G->C	G->T	T->A	T->C	T->G
0	2.923e-3 [2.747e-3..3.110e-3]	5.758e-3 [5.510e-3..6.018e-3]	6.281e-3 [6.021e-3..6.552e-3]	6.943e-3 [6.553e-3..7.356e-3]	4.466e-3 [4.155e-3..4.801e-3]	2.649e-2 [2.573e-2..2.728e-2]	1.402e-2 [1.344e-2..1.463e-2]	6.255e-3 [5.870e-3..6.664e-3]	1.491e-2 [1.431e-2..1.553e-2]	3.903e-3 [3.698e-3..4.119e-3]	6.409e-3 [6.145e-3..6.684e-3]	2.716e-3 [2.546e-3..2.898e-3]
1	2.665e-3 [2.492e-3..2.850e-3]	5.842e-3 [5.584e-3..6.112e-3]	4.743e-3 [4.510e-3..4.987e-3]	5.884e-3 [5.519e-3..6.273e-3]	4.243e-3 [3.934e-3..4.575e-3]	1.683e-2 [1.620e-2..1.747e-2]	1.104e-2 [1.058e-2..1.153e-2]	4.045e-3 [3.767e-3..4.345e-3]	7.962e-3 [7.567e-3..8.376e-3]	3.328e-3 [3.137e-3..3.530e-3]	5.741e-3 [5.488e-3..6.004e-3]	2.728e-3 [2.556e-3..2.912e-3]
2	2.712e-3 [2.531e-3..2.906e-3]	5.570e-3 [5.308e-3..5.845e-3]	4.002e-3 [3.781e-3..4.237e-3]	5.300e-3 [4.971e-3..5.652e-3]	3.909e-3 [3.628e-3..4.213e-3]	1.436e-2 [1.381e-2..1.492e-2]	9.575e-3 [9.134e-3..1.004e-2]	4.107e-3 [3.821e-3..4.414e-3]	7.337e-3 [6.953e-3..7.743e-3]	3.016e-3 [2.838e-3..3.204e-3]	5.152e-3 [4.918e-3..5.396e-3]	2.392e-3 [2.234e-3..2.560e-3]
3	2.468e-3 [2.298e-3..2.651e-3]	5.283e-3 [5.031e-3..5.547e-3]	3.546e-3 [3.341e-3..3.764e-3]	5.024e-3 [4.712e-3..5.356e-3]	3.640e-3 [3.376e-3..3.924e-3]	1.162e-2 [1.114e-2..1.212e-2]	9.657e-3 [9.223e-3..1.011e-2]	3.848e-3 [3.577e-3..4.139e-3]	6.324e-3 [5.974e-3..6.694e-3]	2.824e-3 [2.645e-3..3.014e-3]	5.598e-3 [5.344e-3..5.863e-3]	2.541e-3 [2.372e-3..2.722e-3]
4	2.643e-3 [2.468e-3..2.831e-3]	5.541e-3 [5.284e-3..5.810e-3]	3.545e-3 [3.341e-3..3.762e-3]	5.123e-3 [4.813e-3..5.453e-3]	3.974e-3 [3.702e-3..4.266e-3]	1.073e-2 [1.028e-2..1.120e-2]	9.312e-3 [8.892e-3..9.751e-3]	3.699e-3 [3.437e-3..3.980e-3]	6.664e-3 [6.310e-3..7.038e-3]	2.615e-3 [2.440e-3..2.804e-3]	6.340e-3 [6.064e-3..6.629e-3]	2.645e-3 [2.468e-3..2.834e-3]
5	2.469e-3 [2.302e-3..2.648e-3]	5.118e-3 [4.876e-3..5.372e-3]	3.384e-3 [3.187e-3..3.592e-3]	4.583e-3 [4.281e-3..4.905e-3]	3.755e-3 [3.483e-3..4.048e-3]	1.033e-2 [9.870e-3..1.080e-2]	9.008e-3 [8.590e-3..9.447e-3]	3.347e-3 [3.095e-3..3.619e-3]	5.678e-3 [5.347e-3..6.028e-3]	2.985e-3 [2.799e-3..3.184e-3]	6.016e-3 [5.750e-3..6.295e-3]	2.966e-3 [2.781e-3..3.164e-3]
6	2.470e-3 [2.301e-3..2.651e-3]	5.233e-3 [4.985e-3..5.494e-3]	3.435e-3 [3.235e-3..3.647e-3]	4.729e-3 [4.426e-3..5.053e-3]	3.030e-3 [2.789e-3..3.291e-3]	9.849e-3 [9.408e-3..1.031e-2]	8.962e-3 [8.542e-3..9.403e-3]	3.451e-3 [3.193e-3..3.730e-3]	6.017e-3 [5.673e-3..6.380e-3]	2.821e-3 [2.642e-3..3.012e-3]	5.836e-3 [5.576e-3..6.108e-3]	2.999e-3 [2.814e-3..3.196e-3]
7	2.323e-3 [2.156e-3..2.502e-3]	5.263e-3 [5.009e-3..5.530e-3]	3.217e-3 [3.020e-3..3.428e-3]	4.303e-3 [4.018e-3..4.609e-3]	3.102e-3 [2.861e-3..3.363e-3]	9.602e-3 [9.172e-3..1.005e-2]	8.651e-3 [8.241e-3..9.082e-3]	3.494e-3 [3.236e-3..3.772e-3]	5.694e-3 [5.362e-3..6.046e-3]	2.706e-3 [2.532e-3..2.891e-3]	6.191e-3 [5.926e-3..6.468e-3]	2.473e-3 [2.308e-3..2.651e-3]
8	2.417e-3 [2.246e-3..2.600e-3]	5.053e-3 [4.804e-3..5.315e-3]	2.988e-3 [2.798e-3..3.191e-3]	4.664e-3 [4.371e-3..4.976e-3]	3.530e-3 [3.276e-3..3.803e-3]	1.013e-2 [9.693e-3..1.058e-2]	8.257e-3 [7.864e-3..8.670e-3]	3.638e-3 [3.379e-3..3.916e-3]	5.617e-3 [5.293e-3..5.960e-3]	2.462e-3 [2.294e-3..2.643e-3]	5.558e-3 [5.302e-3..5.826e-3]	2.462e-3 [2.294e-3..2.643e-3]
9	2.350e-3 [2.185e-3..2.528e-3]	5.119e-3 [4.872e-3..5.379e-3]	3.299e-3 [3.102e-3..3.509e-3]	4.020e-3 [3.751e-3..4.308e-3]	3.425e-3 [3.177e-3..3.692e-3]	9.119e-3 [8.710e-3..9.547e-3]	8.651e-3 [8.246e-3..9.076e-3]	3.390e-3 [3.140e-3..3.661e-3]	5.751e-3 [5.423e-3..6.100e-3]	2.713e-3 [2.533e-3..2.907e-3]	5.973e-3 [5.703e-3..6.256e-3]	2.512e-3 [2.339e-3..2.699e-3]
10	2.454e-3 [2.286e-3..2.633e-3]	5.057e-3 [4.815e-3..5.312e-3]	2.968e-3 [2.783e-3..3.165e-3]	4.502e-3 [4.208e-3..4.816e-3]	3.187e-3 [2.941e-3..3.454e-3]	1.006e-2 [9.612e-3..1.052e-2]	8.763e-3 [8.351e-3..9.195e-3]	3.351e-3 [3.100e-3..3.623e-3]	5.470e-3 [5.146e-3..5.814e-3]	2.606e-3 [2.432e-3..2.793e-3]	5.883e-3 [5.619e-3..6.160e-3]	2.652e-3 [2.476e-3..2.840e-3]
11	2.489e-3 [2.319e-3..2.671e-3]	4.878e-3 [4.638e-3..5.130e-3]	3.196e-3 [3.003e-3..3.401e-3]	4.447e-3 [4.157e-3..4.757e-3]	2.972e-3 [2.736e-3..3.228e-3]	9.423e-3 [8.998e-3..9.869e-3]	8.305e-3 [7.901e-3..8.729e-3]	3.001e-3 [2.762e-3..3.261e-3]	5.168e-3 [4.851e-3..5.506e-3]	2.697e-3 [2.521e-3..2.885e-3]	5.849e-3 [5.587e-3..6.123e-3]	3.008e-3 [2.822e-3..3.207e-3]
12	2.657e-3 [2.478e-3..2.849e-3]	4.805e-3 [4.563e-3..5.061e-3]	2.984e-3 [2.794e-3..3.187e-3]	4.112e-3 [3.834e-3..4.411e-3]	3.536e-3 [3.278e-3..3.814e-3]	9.377e-3 [8.952e-3..9.821e-3]	8.085e-3 [7.695e-3..8.496e-3]	3.465e-3 [3.212e-3..3.738e-3]	5.250e-3 [4.936e-3..5.583e-3]	2.701e-3 [2.526e-3..2.888e-3]	6.289e-3 [6.019e-3..6.571e-3]	2.685e-3 [2.511e-3..2.872e-3]
13	2.706e-3 [2.524e-3..2.900e-3]	4.943e-3 [4.696e-3..5.203e-3]	3.188e-3 [2.991e-3..3.398e-3]	4.225e-3 [3.948e-3..4.520e-3]	3.441e-3 [3.193e-3..3.709e-3]	9.713e-3 [9.290e-3..1.015e-2]	8.196e-3 [7.804e-3..8.607e-3]	3.479e-3 [3.226e-3..3.751e-3]	5.172e-3 [4.862e-3..5.501e-3]	2.481e-3 [2.311e-3..2.663e-3]	5.778e-3 [5.516e-3..6.052e-3]	2.566e-3 [2.393e-3..2.751e-3]
14	2.423e-3 [2.254e-3..2.604e-3]	4.721e-3 [4.484e-3..4.971e-3]	2.989e-3 [2.801e-3..3.189e-3]	4.057e-3 [3.785e-3..4.347e-3]	3.447e-3 [3.197e-3..3.715e-3]	9.745e-3 [9.320e-3..1.019e-2]	9.126e-3 [8.713e-3..9.558e-3]	3.259e-3 [3.016e-3..3.522e-3]	5.184e-3 [4.875e-3..5.513e-3]	2.457e-3 [2.285e-3..2.641e-3]	5.803e-3 [5.536e-3..6.082e-3]	2.426e-3 [2.256e-3..2.610e-3]
15	2.632e-3 [2.458e-3..2.819e-3]	4.874e-3 [4.635e-3..5.125e-3]	2.807e-3 [2.627e-3..2.999e-3]	4.253e-3 [3.971e-3..4.555e-3]	3.025e-3 [2.789e-3..3.282e-3]	9.416e-3 [8.993e-3..9.858e-3]	8.701e-3 [8.289e-3..9.133e-3]	3.176e-3 [2.931e-3..3.442e-3]	5.159e-3 [4.844e-3..5.495e-3]	2.541e-3 [2.368e-3..2.725e-3]	6.069e-3 [5.800e-3..6.350e-3]	2.430e-3 [2.262e-3..2.610e-3]
16	2.489e-3 [2.319e-3..2.671e-3]	4.903e-3 [4.664e-3..5.156e-3]	2.954e-3 [2.769e-3..3.151e-3]	4.338e-3 [4.049e-3..4.648e-3]	2.932e-3 [2.695e-3..3.189e-3]	9.477e-3 [9.045e-3..9.929e-3]	8.164e-3 [7.765e-3..8.584e-3]	3.125e-3 [2.881e-3..3.389e-3]	5.255e-3 [4.936e-3..5.594e-3]	2.766e-3 [2.588e-3..2.956e-3]	5.966e-3 [5.702e-3..6.242e-3]	2.450e-3 [2.282e-3..2.629e-3]
