	A->C	A->G	A->T	C->A	C->G	C->T	G->A	G->C	G->T	T->A	T->C	T->G
-80	1.356e-3 [9.840e-4..1.868e-3]	3.555e-3 [2.915e-3..4.334e-3]	1.649e-3 [1.233e-3..2.206e-3]	3.072e-3 [2.289e-3..4.121e-3]	2.234e-3 [1.583e-3..3.152e-3]	6.633e-3 [5.429e-3..8.101e-3]	7.730e-3 [6.444e-3..9.270e-3]	1.882e-3 [1.303e-3..2.719e-3]	4.033e-3 [3.135e-3..5.187e-3]	1.255e-3 [8.893e-4..1.771e-3]	4.080e-3 [3.368e-3..4.940e-3]	2.001e-3 [1.522e-3..2.629e-3]
-79	1.555e-3 [1.158e-3..2.086e-3]	3.180e-3 [2.588e-3..3.907e-3]	1.767e-3 [1.340e-3..2.328e-3]	2.826e-3 [2.106e-3..3.791e-3]	2.184e-3 [1.563e-3..3.050e-3]	9.120e-3 [7.743e-3..1.074e-2]	8.011e-3 [6.755e-3..9.497e-3]	1.896e-3 [1.336e-3..2.689e-3]	4.342e-3 [3.444e-3..5.472e-3]	1.411e-3 [1.024e-3..1.944e-3]	5.300e-3 [4.491e-3..6.254e-3]	1.296e-3 [9.279e-4..1.811e-3]
-78	1.463e-3 [1.090e-3..1.963e-3]	3.026e-3 [2.465e-3..3.713e-3]	1.496e-3 [1.118e-3..2.001e-3]	3.255e-3 [2.483e-3..4.265e-3]	2.692e-3 [1.999e-3..3.623e-3]	9.076e-3 [7.719e-3..1.067e-2]	7.672e-3 [6.466e-3..9.102e-3]	2.361e-3 [1.734e-3..3.213e-3]	4.839e-3 [3.901e-3..6.003e-3]	1.816e-3 [1.382e-3..2.387e-3]	4.131e-3 [3.446e-3..4.952e-3]	1.460e-3 [1.077e-3..1.980e-3]
-77	1.819e-3 [1.411e-3..2.346e-3]	3.176e-3 [2.620e-3..3.850e-3]	1.573e-3 [1.196e-3..2.067e-3]	2.469e-3 [1.821e-3..3.348e-3]	2.469e-3 [1.821e-3..3.348e-3]	8.794e-3 [7.483e-3..1.033e-2]	7.017e-3 [5.885e-3..8.366e-3]	1.940e-3 [1.388e-3..2.709e-3]	4.450e-3 [3.567e-3..5.550e-3]	1.664e-3 [1.259e-3..2.199e-3]	4.518e-3 [3.813e-3..5.351e-3]	1.461e-3 [1.085e-3..1.967e-3]
-76	1.207e-3 [8.898e-4..1.637e-3]	3.208e-3 [2.661e-3..3.869e-3]	2.149e-3 [1.709e-3..2.701e-3]	2.528e-3 [1.884e-3..3.392e-3]	2.586e-3 [1.933e-3..3.458e-3]	9.941e-3 [8.571e-3..1.153e-2]	7.967e-3 [6.783e-3..9.356e-3]	2.547e-3 [1.916e-3..3.385e-3]	4.824e-3 [3.922e-3..5.932e-3]	1.377e-3 [1.023e-3..1.854e-3]	4.868e-3 [4.154e-3..5.703e-3]	1.601e-3 [1.215e-3..2.110e-3]
-75	1.385e-3 [1.045e-3..1.835e-3]	3.116e-3 [2.581e-3..3.760e-3]	2.221e-3 [1.778e-3..2.775e-3]	2.825e-3 [2.155e-3..3.702e-3]	1.575e-3 [1.097e-3..2.262e-3]	7.823e-3 [6.649e-3..9.203e-3]	8.769e-3 [7.547e-3..1.019e-2]	2.439e-3 [1.835e-3..3.241e-3]	4.462e-3 [3.615e-3..5.507e-3]	1.616e-3 [1.242e-3..2.102e-3]	4.172e-3 [3.541e-3..4.915e-3]	1.440e-3 [1.089e-3..1.902e-3]
-74	1.768e-3 [1.388e-3..2.253e-3]	3.074e-3 [2.558e-3..3.695e-3]	1.197e-3 [8.919e-4..1.607e-3]	2.382e-3 [1.792e-3..3.166e-3]	2.382e-3 [1.792e-3..3.166e-3]	9.375e-3 [8.123e-3..1.082e-2]	7.027e-3 [5.979e-3..8.258e-3]	2.647e-3 [2.035e-3..3.444e-3]	4.428e-3 [3.612e-3..5.427e-3]	1.239e-3 [9.202e-4..1.669e-3]	4.928e-3 [4.244e-3..5.722e-3]	1.643e-3 [1.268e-3..2.128e-3]
-73	1.404e-3 [1.074e-3..1.836e-3]	3.471e-3 [2.926e-3..4.117e-3]	2.067e-3 [1.657e-3..2.579e-3]	2.937e-3 [2.287e-3..3.770e-3]	2.118e-3 [1.578e-3..2.842e-3]	8.569e-3 [7.403e-3..9.917e-3]	6.829e-3 [5.841e-3..7.983e-3]	2.408e-3 [1.850e-3..3.132e-3]	4.947e-3 [4.117e-3..5.944e-3]	1.732e-3 [1.354e-3..2.215e-3]	5.277e-3 [4.583e-3..6.076e-3]	1.732e-3 [1.354e-3..2.215e-3]
-72	1.359e-3 [1.049e-3..1.760e-3]	3.457e-3 [2.939e-3..4.066e-3]	2.241e-3 [1.832e-3..2.741e-3]	2.621e-3 [2.024e-3..3.394e-3]	1.885e-3 [1.390e-3..2.557e-3]	8.968e-3 [7.798e-3..1.031e-2]	6.920e-3 [5.919e-3..8.089e-3]	2.440e-3 [1.875e-3..3.174e-3]	3.904e-3 [3.170e-3..4.806e-3]	1.543e-3 [1.194e-3..1.994e-3]	4.310e-3 [3.696e-3..5.025e-3]	1.703e-3 [1.334e-3..2.174e-3]
-71	1.185e-3 [9.015e-4..1.558e-3]	3.764e-3 [3.228e-3..4.389e-3]	1.743e-3 [1.391e-3..2.184e-3]	3.192e-3 [2.540e-3..4.011e-3]	2.842e-3 [2.231e-3..3.621e-3]	9.533e-3 [8.353e-3..1.088e-2]	6.392e-3 [5.459e-3..7.484e-3]	1.838e-3 [1.370e-3..2.467e-3]	4.178e-3 [3.436e-3..5.078e-3]	1.637e-3 [1.287e-3..2.081e-3]	3.744e-3 [3.194e-3..4.389e-3]	1.339e-3 [1.026e-3..1.747e-3]
